siteID,date,year,startTime.UTC,habitatType,samplerType,sampleID,organism_aggr,acceptedTaxonID,number,benthicArea,invDens,tolerance,FFG,mon.precip,mon.ADD
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.7,segmented_worms,ENCSP1,2,0.25,8,10,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.7,segmented_worms,ENCSP1,2,0.25,8,10,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.1,Nemouridae,NEMSP5,1,0.25,4,2,sh,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.8,Rhyacophila,RHYSP3,5,0.25,20,1,prd,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.7,Valvata,VALSP3,4,0.25,16,8,scr,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,riffle,surber,OKSR.20170807.SURBER.6,Valvata,VALSP3,1,0.093,10.75268817204301,8,scr,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.5,Nematoda,NEMSP,2,0.25,8,5,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.1,Hygrobates,HYGSP2,8,0.25,32,8,prd,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.7,Feltria,FELSP1,9,0.25,36,5,prd,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,riffle,surber,OKSR.20170807.SURBER.6,midges,TVEBAV,4,0.093,43.01075268817204,4,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,riffle,surber,OKSR.20170807.SURBER.2,midges,ORTEUO,1,0.093,10.75268817204301,6,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,riffle,surber,OKSR.20170807.SURBER.6,segmented_worms,LUMSP2,1,0.093,10.75268817204301,5,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,riffle,surber,OKSR.20170807.SURBER.6,segmented_worms,LUMSP2,1,0.093,10.75268817204301,5,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.8,Nematoda,NEMSP,24,0.25,96,5,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.1,midges,TANSP8,1,0.25,4,6,cf,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,riffle,surber,OKSR.20170807.SURBER.4,Helodon/Prosimulium,HELSP22,1,0.093,10.75268817204301,2,cf,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.7,midges,CONSP6,4,0.25,16,4,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.5,Nemoura,NEMSP7,1,0.25,4,1,sh,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.5,Nemoura,NEMSP7,1,0.25,4,1,sh,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,riffle,surber,OKSR.20170807.SURBER.4,Helodon/Prosimulium,HELSP22,3,0.093,32.25806451612903,2,cf,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.8,Nematoda,NEMSP,3,0.25,12,5,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,riffle,surber,OKSR.20170807.SURBER.4,Helodon/Prosimulium,HELSP22,1,0.093,10.75268817204301,2,cf,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,riffle,surber,OKSR.20170807.SURBER.6,Tipula,TIPSP3,1,0.093,10.75268817204301,6,sh,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,riffle,surber,OKSR.20170807.SURBER.6,Tipula,TIPSP3,1,0.093,10.75268817204301,6,sh,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.5,midges,CLASP6,2,0.25,8,5,cf,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.8,midges,THIGRO,2,0.25,8,6,prd,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.5,Cinygmula,CINSP1,1,0.25,4,2,scr,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.7,midges,SUBSP,28,0.25,112,4,cf,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.8,Empididae,EMPSP,5,0.25,20,6,prd,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.7,Physa,PHYSP7,2,0.25,8,8,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.5,Nematoda,NEMSP,7,0.25,28,5,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.5,midges,TVEBAV,1,0.25,4,4,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.7,Nematoda,NEMSP,4,0.25,16,5,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,riffle,surber,OKSR.20170807.SURBER.2,Rhyacophila,RHYSP3,1,0.093,10.75268817204301,1,prd,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,riffle,surber,OKSR.20170807.SURBER.6,Acentrella,ACEINS,3,0.093,32.25806451612903,4,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.7,Chloroperlidae,CHLSP,4,0.25,16,0,prd,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.8,Nematoda,NEMSP,6,0.25,24,5,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.8,midges,PSESP17,2,0.25,8,6,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.5,Chelifera/Metachela,CHESP17,2,0.25,8,6,prd,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,riffle,surber,OKSR.20170807.SURBER.6,segmented_worms,ENCSP1,1,0.093,10.75268817204301,10,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,riffle,surber,OKSR.20170807.SURBER.6,segmented_worms,ENCSP1,1,0.093,10.75268817204301,10,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,riffle,surber,OKSR.20170807.SURBER.4,midges,ORTEUO,1,0.093,10.75268817204301,6,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.8,midges,CLASP6,26,0.25,104,5,cf,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.5,Nematoda,NEMSP,1,0.25,4,5,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.5,segmented_worms,ENCSP1,1,0.25,4,10,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.5,segmented_worms,ENCSP1,1,0.25,4,10,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.8,Pisidiidae,PISSP2,2,0.25,8,6,cf,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.3,segmented_worms,NAISP,7,0.25,28,8,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.3,segmented_worms,NAISP,7,0.25,28,10,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.3,segmented_worms,NAISP,7,0.25,28,10,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.3,segmented_worms,NAISP,7,0.25,28,8,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.3,segmented_worms,NAISP,7,0.25,28,10,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.3,segmented_worms,NAISP,1,0.25,4,8,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.3,segmented_worms,NAISP,1,0.25,4,10,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.3,segmented_worms,NAISP,1,0.25,4,10,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.3,segmented_worms,NAISP,1,0.25,4,8,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.3,segmented_worms,NAISP,1,0.25,4,10,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,riffle,surber,OKSR.20170807.SURBER.6,segmented_worms,LUMSP2,1,0.093,10.75268817204301,5,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,riffle,surber,OKSR.20170807.SURBER.6,segmented_worms,LUMSP2,1,0.093,10.75268817204301,5,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,riffle,surber,OKSR.20170807.SURBER.2,midges,KRESP1,2,0.093,21.50537634408602,1,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.5,midges,POLSCA,1,0.25,4,6,sh,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,riffle,surber,OKSR.20170807.SURBER.4,Lebertia,LEBSP1,2,0.093,21.50537634408602,8,prd,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.1,Lebertia,LEBSP1,3,0.25,12,8,prd,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.3,Nemoura,NEMSP7,1,0.25,4,1,sh,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.3,Nemoura,NEMSP7,1,0.25,4,1,sh,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.1,Nemoura,NEMSP7,1,0.25,4,1,sh,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.1,Nemoura,NEMSP7,1,0.25,4,1,sh,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.1,Physa,PHYSP7,1,0.25,4,8,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.3,segmented_worms,NAISP,6,0.25,24,8,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.3,segmented_worms,NAISP,6,0.25,24,10,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.3,segmented_worms,NAISP,6,0.25,24,10,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.3,segmented_worms,NAISP,6,0.25,24,8,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.3,segmented_worms,NAISP,6,0.25,24,10,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.8,Rhyacophila,RHYSP3,3,0.25,12,1,prd,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.1,midges,STISP2,3,0.25,12,9,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.5,Rhyacophila,RHYSP3,4,0.25,16,1,prd,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.7,segmented_worms,ENCSP1,4,0.25,16,10,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.7,segmented_worms,ENCSP1,4,0.25,16,10,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.5,Atractides,ATRSP3,2,0.25,8,8,prd,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.3,segmented_worms,ENCSP1,3,0.25,12,10,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.3,segmented_worms,ENCSP1,3,0.25,12,10,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.5,Clinocera,CLISP2,1,0.25,4,6,prd,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.5,Clinocera,CLISP2,1,0.25,4,6,prd,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.7,Physa,PHYSP7,2,0.25,8,8,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.7,midges,KRESP1,5,0.25,20,1,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,riffle,surber,OKSR.20170807.SURBER.2,Nemouridae,NEMSP5,23,0.093,247.31182795698925,2,sh,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.5,midges,KRESP1,5,0.25,20,1,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.3,midges,ABLSP,2,0.25,8,8,prd,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.7,Nais,NAISP1,2,0.25,8,8,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.1,Valvata,VALSP3,17,0.25,68,8,scr,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,riffle,surber,OKSR.20170807.SURBER.6,Nemouridae,NEMSP5,4,0.093,43.01075268817204,2,sh,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.5,midges,HYDSP52,1,0.25,4,4,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.7,Cinygmula,CINSP1,2,0.25,8,2,scr,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.3,segmented_worms,LUMSP2,1,0.25,4,5,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.3,segmented_worms,LUMSP2,1,0.25,4,5,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.7,midges,EURSP5,2,0.25,8,6,NA,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.8,midges,HYDSP52,2,0.25,8,4,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.1,Valvata,VALSP3,6,0.25,24,8,scr,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.5,midges,CONSP6,117,0.25,468,4,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.5,midges,ORTRIV3,4,0.25,16,6,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.1,Nemouridae,NEMSP5,6,0.25,24,2,sh,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.8,midges,LIMSP23,2,0.25,8,8,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,riffle,surber,OKSR.20170807.SURBER.2,Hygrobates,HYGSP2,2,0.093,21.50537634408602,8,prd,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.1,Oribatida,ORISP1,1,0.25,4,6,prd,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.7,midges,CLASP6,32,0.25,128,5,cf,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.7,segmented_worms,ENCSP1,2,0.25,8,10,cg,85.29,370.18491584027794
OKSR,2017-08-07,2017,20:05:00,run,modifiedKicknet,OKSR.20170807.KICKNET.7,segmented_worms,ENCSP1,2,0.25,8,10,cg,85.29,370.18491584027794
