siteID,date,year,startTime.UTC,season,sampleTime,habitatType,samplerType,sampleID,organism_aggr,acceptedTaxonID,number,benthicArea,invDens,tolerance,FFG
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,hess,MCRA.20170801.HESS.03,segmented_worms,ENCSP1,1,0.086,11.627906976744187,10,cg
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.04,Bezzia,BEZSP1,1,0.093,10.75268817204301,6,prd
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,hess,MCRA.20170801.HESS.02,segmented_worms,ENCSP1,2,0.086,23.255813953488374,10,cg
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.04,Zapada,ZAPSP,32,0.093,344.0860215053763,2,sh
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.04,Trichoptera,TRISP,4,0.093,43.01075268817204,4,cf
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.05,Drunella,DRUSPI,3,0.093,32.25806451612903,0,prd
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,hess,MCRA.20170801.HESS.02,midges,TANSP11,2,0.086,23.255813953488374,6,cf
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.04,Rhyacophila,RHYBET,1,0.093,10.75268817204301,1,prd
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.01,midges,EUKSP,3,0.093,32.25806451612903,5,cg
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,hess,MCRA.20170801.HESS.03,Leuctridae,LEUSP2,1,0.086,11.627906976744187,0,sh
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,hess,MCRA.20170801.HESS.02,midges,BRISP,1,0.086,11.627906976744187,6,cg
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.03,Micrasema,MICSP3,8,0.093,86.02150537634408,2,sh
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.01,segmented_worms,ENCSP1,5,0.093,53.763440860215056,10,cg
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.02,Hydropsychidae,HYDSP4,1,0.093,10.75268817204301,5,cf
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,hess,MCRA.20170801.HESS.02,midges,STESP10,3,0.086,34.88372093023256,4,cg
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.04,Sweltsa,SWESP,1,0.093,10.75268817204301,0,prd
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.03,Pristinicola,PRIHEM,3,0.093,32.25806451612903,NA,scr
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.04,midges,PARSP26,1,0.093,10.75268817204301,5,cg
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.03,Paraleptophlebia,PARSP14,3,0.093,32.25806451612903,1,cg
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,hess,MCRA.20170801.HESS.02,Drunella,DRUDOD,1,0.086,11.627906976744187,0,cg
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.03,Yoraperla,YORSP,3,0.093,32.25806451612903,1,sh
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.01,Ameletus,AMESP2,5,0.093,53.763440860215056,0,scr
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.01,midges,STESP10,13,0.093,139.78494623655914,4,cg
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.04,Perlidae,PERSP1,2,0.093,21.50537634408602,3,prd
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.02,Micrasema,MICSP3,8,0.093,86.02150537634408,2,sh
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.05,Glossosoma,GLOSP3,1,0.093,10.75268817204301,0,scr
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.02,Zapada,ZAPORE,1,0.093,10.75268817204301,2,sh
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.01,midges,MICSP6,16,0.093,172.04301075268816,7,cf
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.05,Drunella,DRUDOD,16,0.093,172.04301075268816,0,cg
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,hess,MCRA.20170801.HESS.03,midges,STESP10,3,0.086,34.88372093023256,4,cg
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,hess,MCRA.20170801.HESS.02,Micrasema,MICSP3,1,0.086,11.627906976744187,2,sh
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.05,Baetis,BAESP2,25,0.093,268.81720430107526,4,cg
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,hess,MCRA.20170801.HESS.03,midges,ZAVSP,35,0.086,406.9767441860465,8,prd
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.01,Lepidostoma,LEPSP20,3,0.093,32.25806451612903,1,sh
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,hess,MCRA.20170801.HESS.02,Lebertia,LEBSP1,2,0.086,23.255813953488374,8,prd
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.01,Trichoptera,TRISP,13,0.093,139.78494623655914,4,cf
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,hess,MCRA.20170801.HESS.02,midges,CORSP19,2,0.086,23.255813953488374,4,cg
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,hess,MCRA.20170801.HESS.02,Pristinicola,PRIHEM,1,0.086,11.627906976744187,NA,scr
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,hess,MCRA.20170801.HESS.03,Lepidostoma,LEPSP20,1,0.086,11.627906976744187,1,sh
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,hess,MCRA.20170801.HESS.01,midges,THISP2,3,0.086,34.88372093023256,5,cg
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.01,Aturidae,ATUSP,27,0.093,290.3225806451613,5,prd
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.04,segmented_worms,ENCSP1,3,0.093,32.25806451612903,10,cg
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.04,Baetis,BAESP2,39,0.093,419.35483870967744,4,cg
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,hess,MCRA.20170801.HESS.03,Cinygma,CINSP,1,0.086,11.627906976744187,2,scr
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.05,Perlidae,PERSP1,32,0.093,344.0860215053763,3,prd
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.05,Rhyacophila,RHYBRU,1,0.093,10.75268817204301,1,prd
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.02,Paraleptophlebia,PARSP14,10,0.093,107.52688172043011,1,cg
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,hess,MCRA.20170801.HESS.03,Paraleptophlebia,PARSP14,9,0.086,104.65116279069768,1,cg
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.02,Glossosoma,GLOSP3,1,0.093,10.75268817204301,0,scr
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.05,Zapada,ZAPCIN,16,0.093,172.04301075268816,2,sh
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.03,Ironodes,IROSP,1,0.093,10.75268817204301,3,scr
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.03,Baetis,BAESP2,36,0.093,387.0967741935484,4,cg
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.01,Leuctridae,LEUSP2,5,0.093,53.763440860215056,0,sh
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.05,midges,BRISP,1,0.093,10.75268817204301,6,cg
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.04,Capniidae,CAPSP2,4,0.093,43.01075268817204,3,sh
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.01,midges,EUKCOE,3,0.093,32.25806451612903,4,cg
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,hess,MCRA.20170801.HESS.03,midges,SYNSP3,1,0.086,11.627906976744187,6,cg
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,hess,MCRA.20170801.HESS.01,segmented_worms,ENCSP1,11,0.086,127.90697674418605,10,cg
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.05,Trichoptera,TRISP,4,0.093,43.01075268817204,4,cf
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.01,midges,PARSP26,3,0.093,32.25806451612903,5,cg
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,hess,MCRA.20170801.HESS.02,Rhyacophila,RHYBET,1,0.086,11.627906976744187,1,prd
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.04,segmented_worms,ENCSP1,9,0.093,96.7741935483871,10,cg
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,hess,MCRA.20170801.HESS.03,Estelloxus,ESTSP1,1,0.086,11.627906976744187,8,prd
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.01,Heterlimnius,HETCOR,3,0.093,32.25806451612903,4,cg
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.03,Chloroperlidae,CHLSP,1,0.093,10.75268817204301,0,prd
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,hess,MCRA.20170801.HESS.01,Ceratopogoninae,CERSP10,1,0.086,11.627906976744187,6,prd
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,hess,MCRA.20170801.HESS.03,midges,NANSP1,1,0.086,11.627906976744187,7,cg
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,hess,MCRA.20170801.HESS.02,Paraleptophlebia,PARSP14,13,0.086,151.16279069767444,1,cg
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,hess,MCRA.20170801.HESS.01,Nematoda,NEMSP,1,0.086,11.627906976744187,5,cg
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,hess,MCRA.20170801.HESS.03,midges,TANSP11,22,0.086,255.8139534883721,6,cf
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.05,Chloroperlidae,CHLSP,16,0.093,172.04301075268816,0,prd
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.01,midges,RHEEXI,3,0.093,32.25806451612903,6,cf
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,hess,MCRA.20170801.HESS.02,midges,MICSP6,4,0.086,46.51162790697675,7,cf
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.04,Perlidae,PERSP1,1,0.093,10.75268817204301,3,prd
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,hess,MCRA.20170801.HESS.02,Ephemerellidae,EPHSP1,1,0.086,11.627906976744187,2,cg
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,hess,MCRA.20170801.HESS.01,Ephemerellidae,EPHSP1,4,0.086,46.51162790697675,2,cg
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,hess,MCRA.20170801.HESS.03,midges,LARSP,3,0.086,34.88372093023256,6,prd
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.01,Perlidae,PERSP1,24,0.093,258.06451612903226,3,prd
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,hess,MCRA.20170801.HESS.03,midges,STESP10,12,0.086,139.53488372093025,4,cg
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.03,Rhyacophila,RHYBET,3,0.093,32.25806451612903,1,prd
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,hess,MCRA.20170801.HESS.01,midges,KRESP1,1,0.086,11.627906976744187,1,cg
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,hess,MCRA.20170801.HESS.02,Capniidae,CAPSP2,1,0.086,11.627906976744187,3,sh
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.03,Limnephilidae,LIMSP5,1,0.093,10.75268817204301,4,sh
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,hess,MCRA.20170801.HESS.01,Chloroperlidae,CHLSP,8,0.086,93.0232558139535,0,prd
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.02,Baetis,BAETRI,2,0.093,21.50537634408602,6,cg
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.01,Zapada,ZAPSP,5,0.093,53.763440860215056,2,sh
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,hess,MCRA.20170801.HESS.03,midges,MICSP6,10,0.086,116.27906976744187,7,cf
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,hess,MCRA.20170801.HESS.02,midges,SYNSP3,1,0.086,11.627906976744187,6,cg
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.02,Acari,ACASP1,1,0.093,10.75268817204301,6,prd
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,hess,MCRA.20170801.HESS.01,midges,BRISP,1,0.086,11.627906976744187,6,cg
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.01,Sweltsa,SWESP,3,0.093,32.25806451612903,0,prd
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.05,Baetis,BAETRI,17,0.093,182.7956989247312,6,cg
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.01,Glossosoma,GLOSP3,5,0.093,53.763440860215056,0,scr
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,hess,MCRA.20170801.HESS.01,midges,ZAVSP,3,0.086,34.88372093023256,8,prd
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.03,Ameletus,AMESP2,4,0.093,43.01075268817204,0,scr
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.03,midges,ZAVSP,1,0.093,10.75268817204301,8,prd
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,hess,MCRA.20170801.HESS.01,midges,LARSP,1,0.086,11.627906976744187,6,prd
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,hess,MCRA.20170801.HESS.01,segmented_worms,ENCSP1,8,0.086,93.0232558139535,10,cg
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.04,Glossosoma,GLOSP3,1,0.093,10.75268817204301,0,scr
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.05,midges,EUKDEV,1,0.093,10.75268817204301,4,cg
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.02,Rhyacophila,RHYBRU,2,0.093,21.50537634408602,1,prd
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,hess,MCRA.20170801.HESS.01,midges,SYNSP3,1,0.086,11.627906976744187,6,cg
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.03,Ironodes,IROSP,3,0.093,32.25806451612903,3,scr
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,hess,MCRA.20170801.HESS.03,Empididae,EMPSP,1,0.086,11.627906976744187,6,prd
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.03,Glossosoma,GLOSP3,1,0.093,10.75268817204301,0,scr
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.02,segmented_worms,ENCSP1,2,0.093,21.50537634408602,10,cg
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.05,Calineuria,CALCAL,1,0.093,10.75268817204301,2,prd
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.01,midges,SYNSP3,3,0.093,32.25806451612903,6,cg
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.01,Perlidae,PERSP1,3,0.093,32.25806451612903,3,prd
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.03,Cinygmula,CINSP1,9,0.093,96.7741935483871,2,scr
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,hess,MCRA.20170801.HESS.03,Capniidae,CAPSP2,1,0.086,11.627906976744187,3,sh
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,hess,MCRA.20170801.HESS.03,Oribatida,ORISP1,1,0.086,11.627906976744187,6,prd
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,hess,MCRA.20170801.HESS.03,Testudacarus,TESSP1,1,0.086,11.627906976744187,5,prd
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.03,Dixa,DIXSP1,1,0.093,10.75268817204301,2,cf
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.04,Glossosomatidae,GLOSP1,1,0.093,10.75268817204301,0,scr
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.03,midges,THISP2,1,0.093,10.75268817204301,5,cg
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.03,midges,TOKSP,1,0.093,10.75268817204301,5,cg
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.04,Caudatella,CAUSP3,1,0.093,10.75268817204301,1,cg
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,hess,MCRA.20170801.HESS.02,Heterlimnius,HETCOR,2,0.086,23.255813953488374,4,cg
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.04,midges,TOKSP,1,0.093,10.75268817204301,5,cg
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,surber,MCRA.20170801.SURBER.03,midges,MICSP6,1,0.093,10.75268817204301,7,cf
MCRA,2017-08-01,2017,14:30:00,Summer,Summer 2017,stepPool,hess,MCRA.20170801.HESS.02,Trichoptera,TRISP,4,0.086,46.51162790697675,4,cf
